q0000,0,0,Which one of the following is not a prime number?,91,31,71,61,1
q0001,0,0,What least number must be added to 1056 so that the sum is completely divisible by 23?,2,3,18,21,2
q0002,0,0,The smallest 3 digit prime number is:,101,103,109,113,3
q0003,0,0,The largest 4 digit number exactly divisible by 88 is:,9944,9768,9988,8888,4
q0004,0,0,Which of the following is a prime number ?,97,33,93,81,5
q0005,0,0,The sum of first five prime numbers is:,28,18,26,11,6
q0006,0,0,The sum of first 45 natural numbers is:,1035,1280,2070,2140,7
q0007,0,0,Which of the following number is divisible by 24 ?,1344,5718,3810,7804,8
q0008,0,0,How many 3-digit numbers are completely divisible 6 ?,150,149,151,166,9
q0009,0,0,The smallest prime number is:,2,1,3,4,10
q0050,0,0,If the number 5*2 is divisible by 6; then * = ?,2,3,6,7,1
q0051,0,0,If the number 97215*6 is divisible by 11; then * = ?,3,2,1,5,2
q0052,0,0,-84 x 29 + 365 = ?,-2071,-2801,2801,2436,3
q0053,0,0,If the product 4864 x 9P2 is divisible by 12; then the value of P is:,1,2,3,5,4
q0054,0,0,(12345679 x 72) = ?,888888888,88888888,898989898,9999999998,5
q0055,0,0,8597 - ? = 7429 - 4358,5526,5426,5706,5705,6
q0056,0,0,Which one of the following numbers is exactly divisible by 11?,415624,315624,245642,235641,7
q0057,0,0,(?) - 19657 - 33994 = 9999,63650,53760,59640,61560,8
q0058,0,0,(?) + 3699 + 1985 - 2047 = 31111,27474,34748,30154,27574,9
q0059,0,0,5358 x 51 = ?,273258,273268,273348,273358,10
q0010,0,1,It was Sunday on Jan 1 2006. What was the day of the week Jan 1 2010?,Friday,Sunday,Saturday,Wednesday,1
q0011,0,1,What was the day of the week on 28th May 2006?,Sunday,Thursday,Friday,Saturday,2
q0012,0,1,What was the day of the week on 17th June 1998?,Wednesday,Monday,Tuesday,Thursday,3
q0013,0,1,What was the day of the week on 15th August 2010?,Sunday,Monday,Tuesday,Friday,4
q0014,0,1,Today is Monday. After 61 days it will be:,Saturday,Wednesday,Tuesday,Thursday,5
q0015,0,1,If 6th March 2005 is Monday; what was the day of the week on 6th March 2004?,Sunday,Saturday,Tuesday,Wednesday,6
q0016,0,1,The last day of a century cannot be,Tuesday,Monday,Wednesday,Friday,7
q0017,0,1,On 8th Feb 2005 it was Tuesday. What was the day of the week on 8th Feb 2004?,Sunday,Tuesday,Monday,Wednesday,8
q0018,0,1,The calendar for the year 2007 will be the same for the year:,2018,2014,2017,2016,9
q0019,0,1,Which of the following is not a leap year?,700,800,1200,2000,10
q0060,0,1,How many days are there from 2nd January 1995 to 15th March 1995?,73,71,74,72,1
q0061,0,1,On 8th Feb 1995 it was Wednesday; The day of the week on 8th Feb 1994 was,Tuesday,Wedneday,Thursday,Sunday,2
q0062,0,1,The first republic day of India was celebrated on 26th January 1950; It was,Thursday,Monday,Tuesday,Friday,3
q0063,0,1,Monday falls on 20th March 1995; What was the day on 3rd November 1994?,Thursday,Sunday,Tuesday,Saturday,4
q0064,0,1,January 1 1992 was Wednesday; What day of the week was on January 1 1993?,Friday,Tuesday,Thursday,Monday,5
q0065,0,1,The year next to 1996 having the same calender as that of 1996 is:,2001,2002,2003,2004,6
q0066,0,1,What will be the day of the week on 1st Jan 2001?,Sunday,Friday,Tuesday,Wednesday,7
q0067,0,1,The day on 5th March of a year is the same day on what date of the same year?,5th Nov.,5th Aug.,5th Oct.,5th Dec.,8
